FID,REGION_CODE,REGION_DESCRIPTION,SITE_NAME,TEMP_C,DEPTH,MOORING_CODE,MOORING_DESCRIPTION,SUBSTRATE_TYPE_CODE,SUBSTRATE_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,GEOM,DATETIME_LOCAL,DATETIME_UTC
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13fe,2,West Coast,Cape Sorell,17.106,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-14T02:00:00,2010-01-13T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13fd,2,West Coast,Cape Sorell,16.82,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-14T10:00:00,2010-01-14T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13fc,2,West Coast,Cape Sorell,16.582,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-14T18:00:00,2010-01-14T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13fb,2,West Coast,Cape Sorell,16.606,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-15T02:00:00,2010-01-14T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13fa,2,West Coast,Cape Sorell,16.82,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-01T12:00:00,2010-01-01T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f9,2,West Coast,Cape Sorell,16.844,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-01T20:00:00,2010-01-01T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f8,2,West Coast,Cape Sorell,16.487,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T04:00:00,2010-01-01T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f7,2,West Coast,Cape Sorell,16.415,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T12:00:00,2010-01-02T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f6,2,West Coast,Cape Sorell,16.701,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T20:00:00,2010-01-02T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f5,2,West Coast,Cape Sorell,16.058,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T04:00:00,2010-01-02T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f4,2,West Coast,Cape Sorell,16.129,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T12:00:00,2010-01-03T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f3,2,West Coast,Cape Sorell,16.201,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T20:00:00,2010-01-03T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f2,2,West Coast,Cape Sorell,16.082,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T04:00:00,2010-01-03T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f1,2,West Coast,Cape Sorell,16.082,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T12:00:00,2010-01-04T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13f0,2,West Coast,Cape Sorell,16.415,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T20:00:00,2010-01-04T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ef,2,West Coast,Cape Sorell,16.511,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T04:00:00,2010-01-04T18:00:00
